latitude;longitude;ID del bene;Descrizione;Confiscato;Immagine;Mq;Estremi Decreto di confisca da suddividere in sottocampi (data, ecc.);Estremi provvedimento di sequestro ;Estremi provvedimento di destinazione da suddividere in sottocampi (data, numero protocollo, ecc.);Estremi verbale di consegna da suddividere in sottocampi (data, ecc.);Numero del procedimento;Numero delle sentenza definitiva;Assegnato;Tipologia bene confiscato  (appartamento,  terreno agricolo, villa, altro);Condizioni attuali del bene (cattive, normali, buone);Abusivo;Occupato;Accessibilità al bene  (buona, sufficiente, scarsa);Valore;Eventuali altre criticità;Gestore;Telefono;E-mail;Indirizzo Gestore;Durata dell’atto di concessione (numero di giorni);Assegnazione;Riutilizzo;Allegato opzionale con descrizione del progetto (ad esempio il PDF che racconta il progetto);Data compilazione scheda (campo automatico che viene valorizzato con la data di compilazione della scheda);Nome e ruolo di chi compila la scheda (campo che viene valorizzato in automatico all'accesso dell'utente che compilerà la scheda, e che è associato ad un'anagrafica completa dell'utente);Foglio;Particella;Subalterno;Indirizzo;Note;;;;;;;;
37,961719;12,971479;k_bene 141519;Terreni Agricoli;Informazione non Recuperata;;360;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;"Il terreno è destinato ad essere utilizzato  nel rispetto del PRG in ""viabilità di progetto"".";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;851;non indicato;C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
37,959926;12,972224;k_bene 988;Terreni Agricoli;Informazione non Recuperata;;440;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;"Il terreno è destinato ad essere utilizzato  nel rispetto del PRG in ""viabilità di progetto"".";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;909;non indicato;C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
37,958784;12,972606;k_bene 978;Terreni Agricoli;Informazione non Recuperata;;440;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;"La part.lla 966 ricade in zona BR1,dentro il limite del vincolo idrogeologico, e per mq 90,75 in viabilità di progetto. La part.lla 1026 ricade in zona BR1  per 50 mq  ed in ""viabilità di progetto"" per mq 15. Risulta altresì ricompresa entro il limite del vincolo idrogeologico.";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;966 e 1026;;C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
37,956872;12,972674;K_bene 141514;Spezzoni di Terreno;Informazione non Recuperata;;320;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;Secondo il vigente strumento urbanistico le particelle ricadono all'interno del perimetro PPRU in zona di viabilità di progetto e dentro il limite del vincolo idrogeologico;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;1025, 1026 e 955;;C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
37,953652;12,971771;K_bene 968;Spezzoni di Terreno;Informazione non Recuperata;;1440;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;Secondo il vigente strumento urbanistico le particella 400 costituisce l'incorocio della via Evola ed una nuova strada di previsione  di PRG. Il terreno ricade per MQ 479 all'interno delle prescrizioni esecutive in zona C3pe, per mq 401 in viabilità di progetto e per mq 210 in zona C4pe. Inoltre l'intera particella ricade dentro il limite del vincolo idrogeologico. La particella 101, secondo il vigente strumento urbnistico, ricade all'interno del perimetro dell'area soggetta a prescrizione esecutiva in zona B2pe dentro il limite del vincolo idrogeologico. La particella 26, secondo il vigente strumento urbanistico, ricade all'interno del perimetro del'area soggetta a prescrizione esecutiva in zona di previsione viaria, dentro il limite del vincolo idrogeologico.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;400,1019 e 26;;C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
37,955799;12,971992;K_bene 51086;Spezzoni di Terreno;Informazione non Recuperata;;745;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;Secondo il vigente strumento urbanistico il terreno ricade in zona Fp2.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;53;197;;C.da Carrubbazzi;Nella mappa è espresso un punto indicativo;non risulta su google maps;;;;;;;
37,954293;12,972101;K_ bene 51087;Spezzoni di Terreno;Informazione non Recuperata;;1130;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Cattive;No;No;Scarsa;Informazione non Recuperata;Risulta impraticabile in quanto costituisce un tratto di scarpata. . Secondo il vigente strumento urbanistico il terreno ricade in zona Fp3 dentro il limite di zona B della Riserva naturale Bosco d'Alcamo e dentro il limite del vincolo idrogeologico.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;73;499;;C.da Morticello;Nella mappa è espresso un punto indicativo;;;;;;;;
37,97431;12,961867;K_bene 51088;Parcelle di Terreno;Informazione non Recuperata;;8710;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;"La  zona di ubicazione è prettamente agricola e interessata dalla presenza di immobili a tipologia edilizia a case isolate ad  uso prettamente stagionale. La particella 356 ricade dentro la fascia di rispetto dei boschi. La particella 134 e 381, costituenti un unico lotto, ricadono dentro il limite dei 150 mt dai corsi di acqua; le part.lle 254,316, 311 e 280 costituiscono una strada interpoderale il cui fondo risulta asfaltato e, secondo il vigente strumento urbanistico, le part.lle 280,254,311 e in parte della 316 ricadono dentro la fascia di rispetto dai boschi.";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;58;134, 381, 353, 354, 356, 254, 316, 311, 280 ;;C.da Maruggi;Nella mappa è espresso un punto indicativo;non risulta su google maps;;;;;;;
38,001904;12,9442;Informazione non recuperata;Spezzoni di Terreno;Informazione non Recuperata;;96,7;Decreto N. 54/94 R.M.P. emesso in data 28.6-6.7.1996 dal tribunale di Trapani Sezione misure di Prevenzione, confermato con Decreto della Corte di Appello di Palermo in data 2.6.1997 e divenuto definitivo in data 3.4.1998 a seguito di sentenza della Corte di cassazione;Informazione non Recuperata;Prot. n. 42093 del 20.11.2008;Verbale di consegna del 28.11.2008;Informazione non Recuperata;Informazione non Recuperata;No;Il fabbricato è composto da 3 piani fuori terra. L'appartamento confiscato, con accesso indipendente, è posto al II° piano.;Buone;Si, ma è stata presentata istanza di concessione in sanatoria a nome di Vaccaro Maria, ai sensi della legge n. 47/85,  N. prog. 0750942501, assunta in data 27.3.1987 a protocollo generale del Comune di Alcamo N. 13063;No;Buona;Informazione non Recuperata;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;2;1110;6;C.da Alcamo Marina;Nella mappa è espresso un punto indicativo;;;;;;;;
37,990968;12,952494;"K_bene 178238 (foglio 34 part.lla 185 sub 7); K_bene 162706 (foglio n. 34, part.lla 185 sub 3; K_bene n. 136684 (Foglio 34 part.lla 185 sub 5)";Appartamento;Informazione non Recuperata;;300;Decreto N. 58/2002 M.P. emesso in data 25.6-9.7.2002 dal tribunale di Trapani, Sezione Penale e per le Misure di Prevenzione, confermato in data 6.6.2003 - 5.4.2004 dalla Corte di Appello, divenuto definitivo in data 24.10.2005 a seguito della Sentenza della Corte di Cassazone, integrata dall'ordinanza n. 29/01 R.M.P. del 27.4.2007;Informazione non Recuperata;Prot. n. 42095 del 11.2.2009;Verbale di consegna del 27.2.2009;Informazione non Recuperata;Informazione non Recuperata;Si;"L' unità immobiliare è costituita dal magazzino e box auto e da due appartamenti. Il mazzino e box auto è ubicato al piano seminterrato, individuato catastalmente al Foglio 34 part.lla 185 sub 7, di 129 mq il magazzino e di 25,30 mq il box auto; il primo appartamento è posto a piano terra ed è adiacente ad altra unità immobiliare (di fatto diviso ma non comunicante), individuato catastalmente al Foglio 34 part.lla 185 sub 3, e corrisponde all'unità immobiliare posta a nord ovvero a sinistra osservando il propspetto principale; il secondo appartamento si sviluppa su due elevazioni fuori terra del predetto fabbricato (1° e 2° piano), di mq 240, ed è individuatao catastalmente al Foglio n. 34 part.lla 185 sub 5";Buone;"L'immobile è stato realizzato in assenza di licenza edilizia; è stata presentata istanza di condono edilizio ai sensi della legge 47/1985 con Prot. n. 49122 del 31.2.1986.";Si, il piano terrà è stato concesso alla Croce Rossa Italiana (Comitato locale di Alcamo).;Buona;Informazione non Recuperata;Nessuna;C.R.I. Comitato locale di Alcamo ;92426444;cl.alcamo@cri.it;SS. 113 KM 326,100 n. 47;scade nl 2018;Assegnazione diretta - Comodato d'uso;Servizio di assistenza medico sanitaria;Informazione non Recuperata;25/09/2015;;34;185;3,5,7;C.da San Leonardo SS 113 al km 326;Nella mappa è espresso un punto indicativo;;;;;;;;
37,955984;12,94691;Informazione non Recuperata;Terreni;Informazione non Recuperata;;8780;Decreto di confisca n. 29/01 R.M.P. emesso dalla Sezione Misure di Prevenzione del tribunale di Trapani il 25.6.2002, confermato con Decreto di Corte di Appello n. 129/02 R.R.M.P. del 6.6.2003, divenuto esecutivo a seguito di pronuncia della Suprema corte di Cassazione in data 24.10.2005;Informazione non Recuperata;Prot. n. 26326/4157/2009/Area I del 2.2.2010 Prefettura di Trapani;Verbale di consegna del 12.3.2010;Informazione non Recuperata;Informazione non Recuperata;No;Terreni agricoli siti in zona montuosa con giaciture in forte pendio;Incolto ;no;No;Buona;Informazione non Recuperata;I beni sono stati destinati a finalità istituzionali, nello specifico a forestazione e rimboschimento.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;69;132, 133, 400;;C.da Mazzone;Nella mappa è espresso un punto indicativo;;;;;;;;
