latitude;longitude;ID del bene;Descrizione;Confiscato;Immagine;Mq;Estremi decreto di confisca da suddividere in sottocampi (data, ecc.);Estremi provvedimento di sequestro ;Estremi provvedimento di destinazione da suddividere in sottocampi (data, numero protocollo, ecc.);Estremi verbale di consegna da suddividere in sottocampi (data, ecc.);Numero del procedimento;Numero delle sentenza definitiva;Assegnato ;Tipologia bene confiscato  (appartamento,  terreno agricolo, villa, altro);Condizioni attuali del bene (cattive, normali, buone);Abusivo;Occupato;Accessibilità al bene  (buona, sufficiente, scarsa);Valore;Eventuali altre criticità;Gestore;Telefono;E-mail;Indirizzo Gestore;Durata dell’atto di concessione (numero di giorni);Assegnazione;Riutilizzo;Allegato opzionale con descrizione del progetto (ad esempio il PDF che racconta il progetto);Data compilazione scheda (campo automatico che viene valorizzato con la data di compilazione della scheda);Nome e ruolo di chi compila la scheda (campo che viene valorizzato in automatico all'accesso dell'utente che compilerà la scheda, e che è associato ad un'anagrafica completa dell'utente);Foglio;Particella;Subalterno;Indirizzo;;longitutinde;Note;;;;;;;;;
37,637945;12,767887;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;5790;Decreto N. 08/99 R.M.P., emesso in data 17.7.2001 e depositato il 5.10.2001, confermato con decreto della Corte di Appello di Palermo N. 14/01 R.R.M.P. Del 18.7.2002 e depositato il 23.6.2003 e divenuto definitivo in data 26.7.2003 ;Informazione non Recuperata;Decreto N. 48267 del 18.2.2008 Agenzia del Demanio – Direzione Generale – Area beni e veicoli confiscati;Consegnato formalmente al Comune con verbale del 27.5.2008;Informazione non Recuperata;Informazione non Recuperata;Gestito direttamente dal Comune;Terreno con annesso fabbricato rurale;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Finanziato progetto P.O.N. Per la realizzazione di un impianto sportivo polivalente;Comune di Castelvetrano;+39 0924909111;Informazione non Recuperata;Piazza Umberto I n. 1;Informazione non Recuperata;Gestito direttamente dal Comune ;Realizzazione impianto sportivo polivalente;Informazione non Recuperata;20/07/15;;33;82,83,85;;C.da Fontanelle;;12,768241;nella mappa è espresso un punto indicativo;;;;;;;;;
37,692209;12,834548;Informazione non Recuperata;Terreno con annesso fabbricato ;Informazione non Recuperata;;26407;Decreto N. 99/93 M.P. emesso in data 20.4.96 e depositato il 27.7.1995 dal Tribunale di Palermo – Sez. Misure di Prevenzione,  parzialmente confermato con decreto  emesso in data 30.1.2006 e depositato il 17.8.2006 dalla Corte di Appello di Palermo e divenuto irrevocabile in data 27.6.2007 in seguito a pronuncia della Corte di Cassazione;Informazione non Recuperata;Decreto N. 32240 del 15.6.2009 Agenzia del Demanio – Direzione Beni confiscati;Consegnato formalmente al comune con verbale del 11.2.2010;Informazione non Recuperata;Informazione non Recuperata;Assegnato alla Cooperativa Sociale Onlus Rita Atria – Libera Terra con contratto di comodato d'uso stipulato il 29.10.2014 con verbale di consegna di pari data. In data 8.6.2015 è stato stipulato contratto di comodato d'uso integrativo  a cui è seguito il verbale di consegna del 23.6.2015;Terreno con annesso fabbricato ;Buone;No;Si;Buona ;673000;Nessuna;Cooperativa Sociale ONLUS Rita Atria – Libera Terra;+39 3273316077;ritaatria@liberaterramediterraneo.it;Via frà Serafino Mannone n. 12 6 Castelvetrano;9125;Bando pubblico finalizzato alla costituzione della cooperativa che gestirà beni confiscati;Produzione agricola ;Informazione non Recuperata;20/07/15;;77,57;"Foglio n. 77 part.lle n. 28, 29, 30, 31, 32, 33, 67, 74, 75 e 111; Foglio 57 part.lle 3,4,44";;C.da Seggio Torre e Staglio;;12,838766;nella mappa è espresso un punto indicativo;;;;;;;;;
37,663198;12,792346;Informazione non Recuperata;Terreno con annesso fabbricato ;Informazione non Recuperata;;263.348 esclusa la part.lla 116 di 14.842;Decreti N. 99-100/93 R.M.P. Emessi dalla sezione misure di prevenzione del Tribunale di Palermo nelle date del 20.4.1995 e del 21.7.1995, parzialmente confermati con decreto  della corte di Appello N. 121/1996 R.R.M.P. (Procedimento riunioto N. 145/01 R.R.M.P.) del 30.1.2006, divenuto esecutivo a seguito di pronuncia della suprema corte di cassazione il 27.6.2007;Informazione non Recuperata;Decreto N. 1574 del 31.01.2012 Agenzia del Demanio;Consegnato formalmente al comune  con verbale del 01.03.2012;Informazione non Recuperata;Informazione non Recuperata; Assegnato alla Cooperativa Sociale Onlus Rita Atria – Libera Terra con contratto di comodato d'uso stipulato il 29.10.2014 con verbale di consegna di pari data. ;Terreno con annesso fabbricato ;Buone;No;Si;Buona;Non indicato;La part.lla 116 è stata concessa al Comune di Trapani per la realizzaizone di pozzi con comodato del 12.2.2013;Cooperativa Sociale ONLUS Rita Atria – Libera Terra;+39 3273316077;ritaatria@liberaterramediterraneo.it;Via frà Serafino Mannone n. 126 Castelvetrano;9125;Bando pubblico finalizzato alla costituzione della cooperativa che gestirà beni confiscati;Produzione agricola ;Informazione non Recuperata;20/07/15;;121;Foglio n. 121 part.lle n.3, 4, 9, 10, 11, 11 sub 1, 11 sub 2, 12, 13, 60, 113, 114, 115, 116, 117 e 118 ;part. 11 sub 1, 11 sub 2,;C.da Canalotto;;12,792485;nella mappa è espresso un punto indicativo;;;;;;;;;
37,678449;12,784884;Informazione non Recuperata;Terreni con annessi fabbricati;Informazione non Recuperata;;654;Decreto N. 95/2011 emesso dalla Corte di Appello di Palermo Sezione Misure di Prevenzione in data 14.10.2011, divenuto definitivo in data 3.10.2012;Informazione non Recuperata;Decreto N. 32328 del 20.10.2014 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnato formalmente al Comune con verbale del 29.10.2014;Informazione non Recuperata;Informazione non Recuperata;Gestito direttamente dal Comune ;Terreni con annesso fabbricato rurale;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;è in corso l'accertamento  sulla reale identità della particella n. 544 ( non risultante in visura né al catasto terreni né al catasto fabbricati) e della part.lla 268 (non presente sul relativo foglio di mappa);Comune di Castelvetrano;+39 0924909111;Informazione non Recuperata;Piazza Umberto I n. 1;Informazione non Recuperata;Gestito direttamente dal Comune ;Finalità istituzionali;Informazione non Recuperata;20/07/15;;182;Foglio n. 182 part.lle n.270, 269, 544 e 268.;;Via XX settembre/via Pastrengo;;12,784884;nella mappa è espresso un punto indicativo;;;;;;;;;
37,688476;12,799858;Informazione non Recuperata;Magazzino;Informazione non Recuperata;;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 23621 del 24.6.2015 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnata formalmente al Comune con verbale del 25.6.2015;Informazione non Recuperata;Sentenza N. 61/11 emessa dal Tribunale di Marsala in data 31.1.2011, confermata dalla Corte di Appello di Palermo, divenuta definitiva a seguito di sentenza della Corte di Cassazione il 17.10.2013 ;No;Magazzino;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;20/07/15;;53;536;part.lla 536 sub 1;Via Vicenza n. 3;;;Strada non mappata;;;;;;;;;
37,689614;12,800698;Informazione non Recuperata;Magazzino;Informazione non Recuperata;;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 23623 del 24.6.2015 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnata formalmente al Comune con verbale del 25.6.2015;Informazione non Recuperata;Sentenza N. 61/11 emessa dal Tribunale di Marsala in data 31.1.2011, confermata dalla Corte di Appello di Palermo, divenuta definitiva a seguito di sentenza della Corte di Cassazione il 17.10.2013 ;No;Magazzino;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;20/07/15;;53;536;part.lla 536 sub 2;Via Vicenza n.1 (Angolo via Santangelo);;12,800698;nella mappa è espresso un punto indicativo;;;;;;;;;
37,696033;12,802562;Informazione non Recuperata;Fabbricato ;Informazione non Recuperata;;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 23625 del 24.6.2015 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnata formalmente al Comune con verbale del 25.6.2015;Informazione non Recuperata;Sentenza N. 61/11 emessa dal Tribunale di Marsala in data 31.1.2011, confermata dalla Corte di Appello di Palermo, divenuta definitiva a seguito di sentenza della Corte di Cassazione il 17.10.2013 ;No;Fabbricato ;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;20/07/15;;53;853;part.lla 853 sub 22;Via Santangelo n. 1;;12,802562;;;;;;;;;;
37,696189;12,802614;Informazione non Recuperata;Fabbricato;Informazione non Recuperata;;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 23626 del 24.6.2015 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnata formalmente al Comune con verbale del 25.6.2015;Informazione non Recuperata;Sentenza N. 61/11 emessa dal Tribunale di Marsala in data 31.1.2011, confermata dalla Corte di Appello di Palermo, divenuta definitiva a seguito di sentenza della Corte di Cassazione il 17.10.2013 ;No;Fabbricato ;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;20/07/15;;53;778;;Via Santangelo n. 26;;12,802614;;;;;;;;;;
37,695938;12,802556;Informazione non Recuperata;Fabbricato;Informazione non Recuperata;;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 23627 del 24.6.2015 Agenzia Nazionale per l'amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata ;Consegnata formalmente al Comune con verbale del 25.6.2015;Informazione non Recuperata;Sentenza N. 61/11 emessa dal Tribunale di Marsala in data 31.1.2011, confermata dalla Corte di Appello di Palermo, divenuta definitiva a seguito di sentenza della Corte di Cassazione il 17.10.2013 ;No;Fabbricato ;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non indicato;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;20/07/15;;53;853;part.lla 853 sub 12;Via Santangelo n.1;;12,802556;nella mappa è espresso un punto indicativo;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
